<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20180103,033000,43170,43910,43170,43815,1
20180104,033000,43600,43620,43110,43135,1
20180106,033000,42900,43275,42770,43185,1
20180107,033000,43160,43740,43150,43695,1
20180108,033000,43680,44150,43600,43780,1
20180109,033000,43410,43840,43380,43775,1
20180110,033000,43810,44150,43810,44135,1
20180111,033000,44150,44310,44040,44100,1
20180112,033000,44090,44090,43940,43970,1
20180113,033000,43630,44290,43630,44290,1
20180114,033000,44350,44520,43930,43985,1
20180115,033000,43950,44240,43850,44210,1
20180116,033000,44260,44480,44200,44290,1
20180117,033000,44350,44550,44335,44530,1
20180118,033000,44660,44760,44560,44575,1
20180119,033000,44540,44655,44500,44650,1
20180120,033000,44770,45390,44680,45305,1
20180121,033000,45470,46130,45300,46070,1
20180122,033000,45770,46330,45620,45840,1
20180123,033000,45600,46150,45600,45780,1
20180124,033000,45600,45660,45480,45500,1
20180125,033000,45430,45480,45190,45230,1
20180127,033000,45000,45165,44900,45165,1
20180128,033000,45230,45800,45230,45800,1
20180129,033000,45900,46120,45455,45455,1
20180130,033000,45330,45750,45300,45750,1
20180131,033000,45870,46280,45710,46280,1
20180201,033000,46290,46490,46210,46340,1
20180202,033000,46380,46620,46330,46580,1
20180203,033000,46560,47150,46340,47100,1
20180204,033000,47180,47500,47180,47400,1
20180205,033000,47100,47370,46640,46750,1
20180206,033000,46600,46980,46400,46870,1
20180207,033000,47120,47720,46750,46800,1
20180208,033000,46000,46600,45900,46450,1
20180209,033000,46480,46490,46250,46320,1
20180210,033000,46550,47300,46550,47220,1
20180211,033000,47300,47400,47225,47250,1
20180212,033000,47470,48460,47410,48420,1
20180213,033000,48870,48900,48300,48490,1
20180214,033000,48390,49000,48260,48500,1
20180215,033000,48300,48300,47800,47800,1
20180216,033000,48000,48000,47900,47900,1
20180217,033000,47600,47600,47000,47000,1
20180218,033000,47000,47630,47000,47630,1
20180219,033000,45900,46300,45900,46300,1
20180220,033000,46200,46200,46000,46000,1
20180221,033000,45800,46200,45800,46200,1
20180222,033000,45800,46000,45800,46000,1
20180223,033000,46000,46000,45900,45900,1
20180224,033000,45900,46450,45900,46450,1
20180225,033000,46500,47300,46500,47300,1
20180226,033000,47700,48000,47700,48000,1
20180227,033000,47700,47700,47400,47400,1
20180228,033000,47000,47000,47000,47000,1
20180301,033000,47450,47600,47300,47600,1
20180303,033000,47700,47800,47400,47400,1
20180304,033000,47300,47550,47300,47500,1
20180305,033000,47600,47750,47600,47700,1
20180306,033000,47800,47900,47500,47800,1
20180307,033000,47900,48150,47900,48100,1
20180308,033000,48300,48300,48000,48000,1
20180310,033000,48100,48200,47850,48050,1
20180311,033000,48000,48000,47600,47850,1
20180312,033000,48000,48900,47900,48350,1
20180313,033000,48600,48800,48600,48750,1
20180314,033000,48700,48900,48500,48500,1
20180315,033000,48900,48900,48400,48500,1
20180317,033000,48450,48450,48300,48350,1
20180318,033000,48500,48800,48250,48750,1
20180319,033000,48800,49200,48800,49100,1
20180325,043000,49710,50400,49700,50350,1
20180326,043000,50630,51050,50630,51000,1
20180327,043000,50800,51100,50800,51050,1
20180328,043000,50800,51020,50800,51020,1
20180403,043000,50600,50600,50300,50350,1
20180404,043000,50300,50650,50300,50600,1
20180405,043000,50700,51100,50700,51100,1
20180407,043000,51200,52450,51200,52450,1
20180408,043000,53200,56500,53200,56500,1
20180409,043000,57100,61200,57100,58500,1
20180410,043000,55000,55000,52000,52000,1
20180411,043000,52500,54550,52500,54550,1
20180412,043000,54000,54400,53500,54000,1
20180415,043000,55350,55500,54500,55000,1
20180416,043000,55500,56300,55500,55920,1
20180417,043000,55900,56050,55300,55300,1
20180418,043000,54600,55200,54000,54000,1
20180419,043000,54200,54500,53950,54300,1
20180421,043000,54900,55200,54500,54700,1
20180422,043000,54500,54600,54400,54400,1
20180423,043000,54650,54900,54600,54900,1
20180424,043000,55150,55150,54900,55050,1
20180425,043000,55200,55600,55200,55600,1
20180426,043000,55650,55750,55650,55650,1
20180428,043000,55750,55800,55700,55800,1
20180429,043000,56700,56900,56700,56900,1
20180430,043000,57300,58400,57300,58400,1
20180501,043000,59000,60200,59000,60050,1
20180503,043000,61100,61500,61000,61400,1
20180505,043000,61800,65400,61800,65100,1
20180506,043000,68600,70300,65500,66500,1
20180507,043000,66000,66000,62000,62200,1
20180508,043000,64000,65000,62800,63000,1
20180509,043000,71200,71200,65800,66500,1
20180510,043000,66600,67000,66300,67000,1
20180511,043000,67500,67500,67500,67500,1
20180512,043000,67000,67000,66200,66350,1
20180513,043000,66000,66000,64300,64400,1
20180514,043000,64000,64000,61900,61900,1
20180515,043000,61800,62000,61000,62000,1
20180516,043000,61800,62000,61200,62000,1
20180517,043000,62100,62300,61900,62100,1
20180519,043000,61800,61800,60900,60900,1
20180520,043000,60750,61500,60400,61200,1
20180521,043000,61700,63100,61700,63100,1
20180522,043000,63200,63300,62600,62600,1
20180523,043000,62500,62800,62400,62800,1
20180524,043000,63100,63100,62800,62800,1
20180526,043000,62900,62900,62350,62450,1
20180527,043000,62600,62800,62350,62800,1
20180528,043000,62900,63500,62900,63500,1
20180529,043000,63700,64800,63700,64800,1
20180530,043000,65000,65200,64600,64600,1
20180531,043000,64500,64500,64450,64450,1
20180602,043000,64400,64400,64000,64000,1
20180603,043000,63900,64250,63900,64250,1
20180606,043000,65300,65300,65150,65150,1
20180607,043000,65100,65100,65000,65000,1
20180609,043000,64900,65400,64750,65400,1
20180610,043000,65650,67500,65650,67200,1
20180611,043000,67300,69000,67300,68600,1
20180612,043000,69100,70700,69100,70600,1
20180613,043000,71000,72300,71000,71000,1
20180614,043000,70300,70300,69200,69200,1
20180617,043000,69000,70250,68400,70000,1
20180618,043000,70500,71000,70500,70800,1
20180619,043000,70850,72400,70800,72400,1
20180620,043000,73000,73600,72500,73500,1
20180621,043000,74000,75100,74000,74800,1
20180623,043000,75500,80900,75500,80900,1
20180624,043000,80800,89500,80800,88000,1
20180625,043000,85000,85600,81000,81000,1
20180626,043000,81500,82400,79000,80000,1
20180627,043000,79000,81100,78000,81100,1
20180628,043000,80500,83500,80500,82500,1
20180630,043000,82400,82400,80000,80000,1
20180701,043000,80200,83700,80200,83700,1
20180702,043000,84000,84500,82200,83200,1
20180703,043000,83100,83100,81500,81900,1
20180704,043000,81800,81800,79600,79600,1
20180705,043000,79500,79500,78000,78800,1
20180707,043000,80500,80500,78800,79600,1
20180708,043000,79400,80500,79350,80100,28
20180709,043000,80000,80000,79500,79500,3
20180710,043000,79300,79300,77800,77800,26
20180711,043000,77500,77800,76800,77200,40
20180712,043000,77400,78200,77400,77950,15
20180714,043000,77900,80300,77900,80300,37
20180715,043000,81000,82600,80500,80500,45
20180716,043000,81000,81200,79000,79300,34
20180717,043000,79200,81400,79000,81400,41
20180718,043000,81700,81800,80800,81700,34
20180719,043000,81500,82700,81300,82700,23
20180720,043000,83000,83000,83000,83000,1
20180721,043000,82700,86000,82700,86000,62
20180722,043000,86500,89700,86500,89300,37
20180723,043000,90000,94600,90000,94050,52
20180724,043000,93800,95400,91000,92500,56
20180725,043000,92600,93500,91200,92000,40
20180726,043000,92100,93500,92100,93500,34
20180727,043000,94000,94000,93500,93500,5
20180728,043000,93700,99500,93500,99200,74
20180729,043000,100000,114000,100000,114000,86
20180730,043000,112000,120000,106000,115000,64
20180731,043000,114000,114000,103500,106000,38
20180801,043000,106500,109500,105500,106300,24
20180802,043000,106000,108500,105500,108500,22
20180804,043000,107000,107000,100500,100800,44
20180805,043000,101000,101000,97000,100000,47
20180806,043000,99800,99800,94500,94500,32
20180807,043000,92000,95500,91000,92700,35
20180808,043000,93200,101000,93200,101000,45
20180809,043000,101500,108000,101500,104000,29
20180810,043000,104500,110400,104500,109150,25
20180811,043000,109500,109500,104300,104300,42
20180812,043000,104000,105000,102500,102800,30
20180813,043000,103500,106400,103500,106400,31
20180814,043000,107500,108800,106000,106000,34
20180815,043000,105900,106300,104600,104600,11
20180816,043000,105500,105500,104800,104900,19
20180817,043000,106300,106300,105200,105200,8
20180818,043000,105000,105100,103450,103500,23
20180819,043000,103300,104500,102400,103700,43
20180820,043000,104200,105200,103900,105000,24
20180821,043000,105300,106400,105300,105800,24
20180822,043000,105700,105700,105700,105700,1
20180823,043000,105600,105600,105300,105500,7
20180824,043000,105300,105300,104500,104500,6
20180825,043000,104300,105000,103800,104600,31
20180826,043000,105000,105800,104800,105400,23
20180827,043000,105900,108600,105900,108200,51
